섹션,제목,내용
안내사항,양식 작성 및 보관 안내,"본 양식을 운전자 모두가 작성ㆍ서명한 경우에는 뺑소니 사고로 간주되는 등의 위험에서 벗어날 수 있으며 특별한 사정이 없는한 신속한 보상처리가 가능하므로 항상 차량에 비치하시고, 경미한 교통사고라도 본 양식을 사고현장에서 각 당사자(운전자)가 함께 작성ㆍ서명한 후 각각 1부씩 보관하시기 바랍니다."
안내사항,보험처리 절차,보험처리를 원하시는 경우에는 우선 별첨된 해당 보험사의 콜센터 등으로 사고를 접수하시고 본 협의서를 보험사에 Fax 등을 통해 제출하시면 신속한 보상처리를 받으실 수 있습니다. 본 협의서를 Fax 등을 통해 보험사에 제출하신 경우 반드시 담당직원과의 전화통화 등을 통해 협의서 수신여부를 확인하시기 바랍니다.
안내사항,상대방 연락불가 시 처리방법,사고 상대방과 연락이 안되는 경우 작성된 협의서를 해당 보험사에 제출하여 직접청구하시면 일정 절차를 거쳐 보상처리를 받으실 수 있습니다.
안내사항,책임인정 관련 안내,본 양식을 작성ㆍ서명했다는 사실만으로 그 사고에 대한 책임이 있는 것으로 간주되지 아니합니다. 본 양식은 단순히 사고와 관련된 사실관계를 확인하는데 그 목적이 있습니다.
안내사항,사진촬영 및 증거보전,"본 협의서를 작성과 더불어 사고현장, 차량 파손부위 등 피해사항에 대한 사진, 동영상 등을 촬영하여 보험사로 제출하시면 교통사고로 인한 불이익을 최소화할 수 있을 뿐만 아니라 보다 신속한 보상이 가능합니다."
안내사항,양식 다운로드 안내,"본 협의서 양식은 손해보험협회(www.knia.or.kr), 각 손해보험회사 홈페이지에서 내려받을 수 있습니다."
작성요령,사고일시 작성법,"사고일시는 년월일 및 오전,오후를 구분한 시간을 최대한 구체적으로 기재해 주시기 바랍니다."
작성요령,사고장소 작성법,사고장소는 인근의 큰 건물 등을 중심으로 구체적으로 기재하여 주시기 바랍니다.
작성요령,날씨 표기법,사고당시 날씨는 해당란에 √표기해 주시기 바랍니다.
작성요령,개인정보 작성법,"차량번호, 주민번호, 운전자 성명과 연락처, 주소, 가입보험회사 등은 정확히 기재하여 주시기 바랍니다. 운전자 이름과 주민번호, 연락처를 정확히 기재하셔야 뺑소니 사고로 오해를 받지 않습니다."
작성요령,파손부위 및 탑승인원 기재법,"차량파손부위(부상부위)에 √표기해 주시기 바라오며, 각 차량의 탑승인원수를 기재하여 주시기 바랍니다. 야간, 악천후 등으로 인해 피해내용에 대한 현장확인이 곤란한 경우에는 가능한 사항에 대해서만 우선기재하시고 다음날에 다시 확인한다는 등의 메모기재"
작성요령,사고약도 작성법,"사고약도는 알기 쉽게 차로 및 큰 건물 등을 중심으로 구체적인 차량위치, 접촉상황등을 그려 주시기 바라며 파손정도 및 특이사항에 대해서도 가급적 자세히 기술해주시기 바랍니다."
작성요령,서명 및 보관,각 사고차량 운전자는 각각의 서명란에 자필로 서명하신 후 각 1부씩 소지하시기 바랍니다.
