입력_내용,출력_내용,출력자_성별,역질문,주제
취미가 뭐예요?,요즘 베이킹에 푹 빠져있어요!,여성,어떤 요리 좋아하세요?,취미
취미가 뭐예요?,축구 보는 걸 정말 좋아해요,남성,어떤 팀 응원하세요?,취미
취미가 뭐예요?,넷플릭스 보면서 집에 있는 게 좋아요,여성,어떤 드라마 좋아하세요?,취미
취미가 뭐예요?,헬스장에서 운동하는 게 취미예요,남성,어떤 운동 하세요?,취미
베이킹 좋아해요,와 정말요? 저도 베이킹 좋아해요!,여성,어떤 거 주로 만드세요?,취미
베이킹 좋아해요,베이킹 어려워 보이는데 대단하시네요!,남성,언제부터 시작하셨어요?,취미
요리 못해요,괜찮아요! 저도 처음엔 그랬어요,여성,간단한 거부터 해보시는 게 어때요?,요리
요리 못해요,배달음식도 맛있잖아요!,남성,어떤 음식 자주 시켜 드세요?,음식
쿠키 만들어요,쿠키 맛있겠다! 어떤 쿠키 만드세요?,여성,만든 거 사진 보여주세요!,요리
쿠키 만들어요,달콤한 거 좋아하시는군요!,남성,초콜릿칩 쿠키 좋아하세요?,음식
축구 좋아해요,저도 축구 좋아해요! 같이 보면 재밌겠다,남성,어떤 팀 응원하세요?,스포츠
축구 좋아해요,축구 잘 모르지만 응원하는 재미는 알 것 같아요,여성,직접 하기도 하세요?,스포츠
토트넘 응원해요,손흥민 선수 때문인가요? 정말 잘하더라고요,여성,경기장 가본 적 있어요?,스포츠
토트넘 응원해요,오 저도 토트넘 팬이에요! 반가워요,남성,언제부터 응원하셨어요?,스포츠
운동 하세요?,요가 배우고 있어요! 정말 좋아요,여성,어떤 운동 좋아하세요?,운동
운동 하세요?,헬스장에서 웨이트 트레이닝 해요,남성,운동 좋아하세요?,운동
요가 해요,요가 몸에 정말 좋다고 하던데요!,남성,얼마나 하셨어요?,운동
요가 해요,저도 요가 해보고 싶었어요!,여성,어려워요? 어디서 배우세요?,운동
헬스장 다녀요,운동하시는 분 멋있어요!,여성,얼마나 다니셨어요?,운동
헬스장 다녀요,저도 헬스장 다녀요! 어디서 하세요?,남성,운동 좋아하세요?,운동
좋아하는 음식이 뭐예요?,파스타 정말 좋아해요! 특히 크림파스타,여성,이탈리안 음식 좋아하세요?,음식
좋아하는 음식이 뭐예요?,고기 요리 전반적으로 다 좋아해요,남성,어떤 고기 제일 좋아하세요?,음식
파스타 좋아해요,저도 파스타 정말 좋아해요!,여성,어떤 파스타 제일 좋아하세요?,음식
파스타 좋아해요,파스타 맛있죠! 이탈리안 음식 좋아하세요?,남성,직접 만들어보신 적 있어요?,음식
고기 좋아해요,고기 정말 맛있죠! 저도 좋아해요,남성,어떤 고기 제일 좋아하세요?,음식
고기 좋아해요,고기 좋아하시는군요! 맛집 많이 아시겠어요,여성,추천해주실 곳 있어요?,음식
삼겹살 좋아해요,삼겹살 진짜 맛있죠! 소주랑 환상궁합,남성,어떻게 구워 드세요?,음식
삼겹살 좋아해요,삼겹살 맛있어요! 상추에 싸먹는 거 좋아해요,여성,어떤 반찬이랑 드세요?,음식
여행 좋아해요?,네! 작년에 제주도 다녀왔는데 너무 좋았어요,여성,어디 여행 가보셨어요?,여행
여행 좋아해요?,해외여행 정말 좋아해요! 일본 다녀왔어요,남성,어느 나라 가보고 싶으세요?,여행
제주도 가봤어요,제주도 정말 예쁘죠! 어디가 제일 기억에 남아요?,여성,언제 다녀오셨어요?,여행
제주도 가봤어요,제주도 좋더라고요! 흑돼지 드셨어요?,남성,몇 박 며칠 다녀오셨어요?,여행
일본 가봤어요,일본 어떠셨어요? 저도 가보고 싶어요!,여성,어디가 제일 좋았어요?,여행
일본 가봤어요,일본 정말 좋죠! 어느 도시 가셨어요?,남성,음식은 어떠셨어요?,여행
도쿄 갔어요,도쿄 정말 볼 거리 많죠! 어디 구경하셨어요?,여성,쇼핑도 많이 하셨어요?,여행
도쿄 갔어요,도쿄 좋죠! 사람이 정말 많더라고요,남성,지하철 복잡하지 않았어요?,여행
영화 좋아해요?,로맨스 영화 정말 좋아해요!,여성,어떤 장르 좋아하세요?,문화
영화 좋아해요?,액션 영화 진짜 좋아해요! 마블 시리즈 다 봤어요,남성,최근에 본 영화 있어요?,문화
로맨스 영화 좋아해요,저도 로맨스 영화 좋아해요! 설레죠,여성,어떤 작품 추천하세요?,문화
로맨스 영화 좋아해요,로맨스 영화도 가끔 봐요! 감동적이더라고요,남성,최근에 본 거 중에 뭐가 좋았어요?,문화
액션 영화 좋아해요,액션 영화 박진감 있어서 좋죠!,남성,어떤 액션 영화 좋아하세요?,문화
액션 영화 좋아해요,액션 영화도 재밌어요! 무서운 장면만 아니면,여성,어떤 액션 스타 좋아하세요?,문화
마블 영화 좋아해요,마블 정말 재밌죠! 어떤 히어로 좋아하세요?,남성,다음 시리즈도 기대되죠?,문화
마블 영화 좋아해요,마블 스케일이 정말 크더라고요!,여성,어떤 캐릭터 제일 좋아하세요?,문화
드라마 봐요?,로맨스 드라마 정주행하는 걸 좋아해요,여성,어떤 드라마 좋아하세요?,문화
드라마 봐요?,넷플릭스에서 해외 시리즈 많이 봐요,남성,요즘 뭐 보고 계세요?,문화
로맨스 드라마 봐요,로맨스 드라마 정말 설레죠!,여성,어떤 작품 추천하세요?,문화
로맨스 드라마 봐요,로맨스 드라마도 가끔 봐요! 달달하더라고요,남성,주인공들 보면서 부러워요?,문화
해외 드라마 봐요,해외 드라마 퀄리티 정말 좋죠!,남성,어떤 시리즈 추천하세요?,문화
해외 드라마 봐요,해외 드라마 재밌어요! 자막 보는 게 힘들긴 하지만,여성,어떤 나라 드라마 좋아하세요?,문화
음악 듣나요?,발라드 정말 좋아해요! 감성적인 노래,여성,어떤 음악 좋아하세요?,문화
음악 듣나요?,힙합 정말 좋아해요! 리듬감 있는 거,남성,어떤 장르 좋아하세요?,문화
발라드 좋아해요,발라드 정말 감동적이죠! 저도 좋아해요,여성,어떤 가수 좋아하세요?,문화
발라드 좋아해요,발라드 들으면 감성적이 되더라고요,남성,드라이브할 때 들으세요?,문화
힙합 좋아해요,힙합 에너지 넘쳐서 좋죠!,남성,어떤 래퍼 좋아하세요?,문화
힙합 좋아해요,힙합도 들어요! 신나는 게 좋더라고요,여성,운동할 때 들으세요?,문화
책 읽어요?,에세이 읽는 걸 정말 좋아해요,여성,어떤 책 좋아하세요?,문화
책 읽어요?,추리소설 좋아해요! 범인 찾는 재미,남성,어떤 장르 읽으세요?,문화
에세이 읽어요,에세이 정말 좋죠! 힐링되는 느낌,여성,어떤 작가 좋아하세요?,문화
에세이 읽어요,에세이 감성적이더라고요! 저도 가끔 읽어요,남성,추천해주실 책 있어요?,문화
추리소설 읽어요,추리소설 재밌죠! 반전 있는 거 좋아해요,남성,어떤 작가 작품 좋아하세요?,문화
추리소설 읽어요,추리소설 머리 쓰는 재미가 있겠어요!,여성,범인 맞춰보면서 읽으세요?,문화
