page_content,source,title,category,chunk_id,article
"소득세법

소득세법

[시행 2024. 1. 1.] [법률 제19933호, 2023. 12. 31., 일부개정]

기획재정부(소득세제과(사업소득, 기타소득)) 044-215-421",./data/with_markdown-sample.docx,소득세법: 개인 및 법인의 소득에 따른 적정 과세 규정,납세의무,chunk_000,1
"1. 구성원 간 이익의 분배비율이 정하여져 있고 해당 구성원별로 이익의 분배비율이 확인되는 경우

2. 구성원 간 이익의 분배비율이 정하여져 있지 아니하나 사실상 구성원별로 이익이",./data/with_markdown-sample.docx,"공동체 내 납세의무 범위: 공동사업자별 소득과세, 상속인 및 증여자에 의한 연대납세, 공동자산",납세의무,chunk_001,119
"⑤ 공동으로 소유한 자산에 대한 양도소득금액을 계산하는 경우에는 해당 자산을 공동으로 소유하는 각 거주자가 납세의무를 진다.<신설 2017. 12. 19., 2020. 12. 29",./data/with_markdown-sample.docx,"소득세 납세의무 범위: 거주자는 종합소득, 퇴직소득, 양도소득 등 다양한 소득에 대해 납세 의무를 지며",납세의무,chunk_002,2
"3. 「자본시장과 금융투자업에 관한 법률」 제251조제1항에 따른 집합투자업겸영보험회사의 특별계정

③ 비거주자의 소득은 제119조에 따라 구분한다.

[전문개정 2009. 12.",./data/with_markdown-sample.docx,"소득 구분 및 과세 원칙 거주자 소득: 종합소득이자, 배당, 사업, 근로, 연금, 기타",납세의무,chunk_003,251
"③ 납세지가 불분명한 경우에는 대통령령으로 정하는 바에 따라 납세지를 결정한다.

[전문개정 2009. 12. 31.]



제7조(원천징수 등의 경우의 납세지) ① 원천징수하는 ",./data/with_markdown-sample.docx,소득세 납세지 결정 기준: 거주자비거주자 사업장 소재지 또는 신고에 따른 관할 세무서 지정 장소,납세의무,chunk_004,7
"④ 제1항이나 제2항에 따른 신고가 없는 경우의 거주자 또는 비거주자의 소득세 납세지는 제6조와 제7조에 따른다.

⑤ 국내에 주소가 없는 공무원 등 대통령령으로 정하는 사람의 소",./data/with_markdown-sample.docx,"소득세 납세지 지정 및 변경 규정: 거주자의 사업장 소재지 외 대통령령에 따라 납세지 지정 가능, 변경 시 신고 의무, 관할",납세의무,chunk_005,6
"1. 「공익신탁법」에 따른 공익신탁의 이익

2. 사업소득 중 다음 각 목의 어느 하나에 해당하는 소득

가. 논ㆍ밭을 작물 생산에 이용하게 함으로써 발생하는 소득

나. 1개의 ",./data/with_markdown-sample.docx,"소득세 납세 범위: 농업소득, 주택임대소득제한 조건, 전통주 제조소득, 일부 임업소득, 어업소득, 특수 복무",세율계산,chunk_006,99
"바. 「국민연금법」에 따라 받는 반환일시금(사망으로 받는 것만 해당한다) 및 사망일시금

사. 「공무원연금법」, 「공무원 재해보상법」, 「군인연금법」, 「군인 재해보상법」, 「사립",./data/with_markdown-sample.docx,"소득세법 핵심 제목: 소득 종류 및 과세 배제 공적연금, 공무상 급여, 해외근무 급여, 국가유공자",근로소득,chunk_007,28
서. 「교육기본법」 제28조제1항에 따라 받는 장학금 중 대학생이 근로를 대가로 지급받는 장학금(「고등교육법」 제2조제1호부터 제4호까지의 규정에 따른 대학에 재학하는 대학생에 한,./data/with_markdown-sample.docx,"소득세 과세 대상 요약: 장학금, 직무발명보상금, 산학협력단 보상금, 복리후생 급여, 공적",근로소득,chunk_008,28
"마. 「국군포로의 송환 및 대우 등에 관한 법률」에 따라 국군포로가 받는 위로지원금과 그 밖의 금품

바. 「문화재보호법」에 따라 국가지정문화재로 지정된 서화ㆍ골동품의 양도로 발생",./data/with_markdown-sample.docx,"비과세소득: 공익신탁 이익, 농업임업 소득 제한 및 주택임대소득 일부, 전통주 제조 및 조림 관련",사업소득,chunk_009,21
"다. 대통령령으로 정하는 농어가부업소득

라. 대통령령으로 정하는 전통주의 제조에서 발생하는 소득

마. 조림기간 5년 이상인 임지(林地)의 임목(林木)의 벌채 또는 양도로 발생하",./data/with_markdown-sample.docx,"소득세법 주요 조항 요약: 농업부업소득, 전통주 제조소득, 조림소득, 작물재배업소득,",세율계산,chunk_010,70
차. 외국정부(외국의 지방자치단체와 연방국가인 외국의 지방정부를 포함한다. 이하 같다) 또는 대통령령으로 정하는 국제기관에서 근무하는 사람으로서 대통령령으로 정하는 사람이 받는 급,./data/with_markdown-sample.docx,"소득세 감면 및 공제 조항: 해외근무 급여, 국가유공자 지원금, 전직대통령 연금, 군인군무원 급여, 전사 급여,",근로소득,chunk_011,28
"저. 대통령령으로 정하는 복리후생적 성질의 급여

4. 연금소득 중 다음 각 목의 어느 하나에 해당하는 소득

가. 「국민연금법」, 「공무원연금법」 또는 「공무원 재해보상법」, 「",./data/with_markdown-sample.docx,공적연금 및 기타소득 과세 범위 공적연금 및 관련 보상금 국가보훈 및 특별지원금,근로소득,chunk_012,21
"5) 종교관련종사자가 기획재정부령으로 정하는 사택을 제공받아 얻는 이익

자. 법령ㆍ조례에 따른 위원회 등의 보수를 받지 아니하는 위원(학술원 및 예술원의 회원을 포함한다) 등이 ",./data/with_markdown-sample.docx,종합소득 과세 기준 및 세액 계산 규정,납세의무,chunk_013,12
7. 해당 과세기간에 대통령령으로 정하는 총수입금액의 합계액이 2천만원 이하인 자의 주택임대소득(이하 “분리과세 주택임대소득”이라 한다). 이 경우 주택임대소득의 산정 등에 필요한,./data/with_markdown-sample.docx,"분리과세 규정: 총수입 2천만원 이하 주택임대소득, 기타소득금액 제한 및 원천징수 제외,",납세의무,chunk_014,21
