title	link	description	gj_text
추석에 경주 여행	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=474844021&qb=6rK97KO87Jes7ZaJ&enc=utf8	추석에 경주 여행 가는거 어떻게 생각하시나요? 서울에서 버스를 타고 갈 경우, 버스가 버스전용 차선에서 운행하나요?... 질문하신 [추석 경주여행] 관련 답변 드리도록 하겠습니다. 첨성대, 석굴암, 불국사 등 유적지는 연중무휴로... 	추석에 경주 여행추석에 경주 여행 가는거 어떻게 생각하시나요 서울에서 버스를 타고 갈 경우 버스가 버스전용 차선에서 운행하나요 질문하신 추석 경주여행 관련 답변 드리도록 하겠습니다 첨성대 석굴암 불국사 등 유적지는 연중무휴로 
1박2일 경주 여행 일정 짜주세요	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=484345851&qb=6rK97KO87Jes7ZaJ&enc=utf8	1박2일 경주 여행 일정 짜주세요 질문자님, 경주에서의 1박 2일 여행을 계획 중이시군요! 특히 '소록스테이'에서의... 아래에 경주 여행 일정을 간략히 정리해 드릴게요. 1박 2일 경주 여행 일정 Day 1: 감성 가득한 경주 탐방 10:30... 	1박2일 경주 여행 일정 짜주세요1박2일 경주 여행 일정 짜주세요 질문자님 경주에서의 1박 2일 여행을 계획 중이시군요 특히 소록스테이에서의 아래에 경주 여행 일정을 간략히 정리해 드릴게요 1박 2일 경주 여행 일정 Day 1 감성 가득한 경주 탐방 1030 
어머니랑 1박2일 경주여행	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=9011403&docId=484291784&qb=6rK97KO87Jes7ZaJ&enc=utf8	이제 5월달 어버이날을 위해 어머니랑 경주 여행을 할려고합니다 ㅎㅎ 놀러갈데는 다 정했는데 펜션을... ㅠㅠ 안녕하세요~ 어버이날을 맞아 어머니와 함께 경주 여행을 계획 중이시군요. 특별한 시간을 보내시려는 마음이 느껴져서 더욱... 	어머니랑 1박2일 경주여행이제 5월달 어버이날을 위해 어머니랑 경주 여행을 할려고합니다  놀러갈데는 다 정했는데 펜션을  안녕하세요 어버이날을 맞아 어머니와 함께 경주 여행을 계획 중이시군요 특별한 시간을 보내시려는 마음이 느껴져서 더욱 
경주 여행	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=484892481&qb=6rK97KO87Jes7ZaJ&enc=utf8	5월6,7,8일 경주 여행을 가는데요 동궁과월지와 월정교 야경을 보고 싶은데 7일에 정상 운영 되나요? 휴무일이 따로 없어서 관람에 방해가 될정도로 날씨가 나쁜상황이 생겨서 통제를 하는 경우가 아니라면 관람이 가능하겠습니다... 	경주 여행5월678일 경주 여행을 가는데요 동궁과월지와 월정교 야경을 보고 싶은데 7일에 정상 운영 되나요 휴무일이 따로 없어서 관람에 방해가 될정도로 날씨가 나쁜상황이 생겨서 통제를 하는 경우가 아니라면 관람이 가능하겠습니다 
경주여행 30만원	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=482950385&qb=6rK97KO87Jes7ZaJ&enc=utf8	경주 여행 2박3일 남자친구랑 가는데 숙소랑 ktx비는 다 냈고 제 개인적으로 30만원이면 부족할까요? 30만원으로 경주 여행을 계획하고 계신다면, 예산이 어떻게 집행되느냐에 따라 충분할 수도, 부족할 수도 있습니다.... 	경주여행 30만원경주 여행 2박3일 남자친구랑 가는데 숙소랑 ktx비는 다 냈고 제 개인적으로 30만원이면 부족할까요 30만원으로 경주 여행을 계획하고 계신다면 예산이 어떻게 집행되느냐에 따라 충분할 수도 부족할 수도 있습니다 
경주 여행 맛집	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=480200932&qb=6rK97KO87Jes7ZaJ&enc=utf8	경주 여행 가고싶은데 맛집 추천 부탁드려뇨 경주 여행 가이드: 교통편, 맛집, 볼거리까지 모두 알려줄게요! 경주는 한국의 역사와 문화가 살아 숨 쉬는 도시로, 여행하기 좋은 명소가 많아요! 2025년 봄, 경주로 떠나고... 	경주 여행 맛집경주 여행 가고싶은데 맛집 추천 부탁드려뇨 경주 여행 가이드 교통편 맛집 볼거리까지 모두 알려줄게요 경주는 한국의 역사와 문화가 살아 숨 쉬는 도시로 여행하기 좋은 명소가 많아요 2025년 봄 경주로 떠나고 
경주 여행을 가는데 갈만한 곳 추천좀	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=478956941&qb=6rK97KO87Jes7ZaJ&enc=utf8	경주 여행을 가는데 갈만한 곳 추천좀 해주세요 경주 여행 추천지 입니다 경주월드 국립 경주 박물관 황리단길 첨성대 불국사 엑스포 공원 등등 입니다	경주 여행을 가는데 갈만한 곳 추천좀경주 여행을 가는데 갈만한 곳 추천좀 해주세요 경주 여행 추천지 입니다 경주월드 국립 경주 박물관 황리단길 첨성대 불국사 엑스포 공원 등등 입니다
2월 1~2일 경주여행 날씨	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=481101676&qb=6rK97KO87Jes7ZaJ&enc=utf8	2월 1~2일로 경주여행가는데 현재 날씨가 어떤가요 눈 쌓였나요? 시외버스타고 가는데 빙판길일까봐 불안해요 경주는 눈 그렇게 많이오지 않고 날씨도 많이 춥지는 않아요. 주말에 춥다고는 해도 그때예보를 보는게 좋겠죠	2월 12일 경주여행 날씨2월 12일로 경주여행가는데 현재 날씨가 어떤가요 눈 쌓였나요 시외버스타고 가는데 빙판길일까봐 불안해요 경주는 눈 그렇게 많이오지 않고 날씨도 많이 춥지는 않아요 주말에 춥다고는 해도 그때예보를 보는게 좋겠죠
경주 여행 중 놓치지 말아야 할 맛집과 카페 알려주세요	https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121102&docId=486281338&qb=6rK97KO87Jes7ZaJ&enc=utf8	경주 여행을 계획 중이며, 맛집과 카페에서 특별한 경험을 하고 싶습니다. 예를 들어, 독특한 메뉴나 특별한 뷰를 제공하는 곳, 혹은 전통적인 분위기와 현대적인 요소가 조화를 이루는 장소에 대해 알고 싶습니다. 경주에 가면 황남빵과... 	경주 여행 중 놓치지 말아야 할 맛집과 카페 알려주세요경주 여행을 계획 중이며 맛집과 카페에서 특별한 경험을 하고 싶습니다 예를 들어 독특한 메뉴나 특별한 뷰를 제공하는 곳 혹은 전통적인 분위기와 현대적인 요소가 조화를 이루는 장소에 대해 알고 싶습니다 경주에 가면 황남빵과 
2박3일 경주여행 일정을 어떻게 짜야할지 고민입니다.	https://kin.naver.com/qna/detail.naver?d1id=8&dirId=81204&docId=474957388&qb=6rK97KO87Jes7ZaJ&enc=utf8	2박3일 경주여행(아빠,엄마,중1아들,초2딸) 1일차 ktx타고 경주역하차 11시 숙소는 황리단길 황남고택 2일차... 제가 드린 답변이 도움되셨길 바래요 - 말씀하신 질문 : 2박3일 경주여행(아빠,엄마,중1아들,초2딸) 1일차 ktx타고... 	2박3일 경주여행 일정을 어떻게 짜야할지 고민입니다2박3일 경주여행아빠엄마중1아들초2딸 1일차 ktx타고 경주역하차 11시 숙소는 황리단길 황남고택 2일차 제가 드린 답변이 도움되셨길 바래요  말씀하신 질문  2박3일 경주여행아빠엄마중1아들초2딸 1일차 ktx타고 
